station_id,year,probe,original_depth_cm,new_depth_cm,change,type
AK003,2006,MRC,0,8,8,measured
AK003,2007,MRC,0,11,11,measured
AK003,2008,MRC,0,11,11,measured
AK003,2009,MRC,0,11,11,measured
AK003,2010,MRC,0,11.5,11.5,measured
AK003,2011,MRC,0,13.75,13.75,measured
AK003,2012,MRC,0,16,16,measured
AK003,2013,MRC,0,17,17,measured
AK003,2014,MRC,0,18,18,measured
AK003,2015,MRC,0,23,23,measured
AK003,2016,MRC,0,23,23,measured
AK003,2017,MRC,0,22.5,22.5,measured
AK003,2018,MRC,0,22,22,measured
AK003,2019,MRC,0,22,22,measured
AK003,2020,MRC,0,23,23,measured
AK003,2021,MRC,0,23,23,measured
AK003,2022,MRC,0,24,24,measured
