site,region,lat,long,elevation_ft_original,station_id,status,known_issues_probeheight,first_year_recorded,last_year_recorded,question
Happy Valley,Alaska,69.156583,-148.837472,1037,AK013,active,yes,2007,2023,
Happy Valley Hill Site,Alaska,69.146556,-148.853139,na,na,active,na,2005,2023,
Toolik Lake,Alaska,68.623111,-149.610111,2480,AK301,active,yes,1998,2023,
West Dock High,Alaska,70.370389,-148.568639,30,AK008,active,yes,2001,2023,
West Dock Low,Alaska,70.370444,-148.565528,25,AK007,active,yes,2001,2023,
Sagwon Acidic upper box ,Alaska,69.4025,-148.797806,1080,AK009,active,yes,2005,2023,
Sagwon Acidic lower box ,Alaska,69.402425,-148.798022,324,AK006,active,maybe,1996,2023,
Sagwon Nonacidic upper box,Alaska,69.439528,-148.66875,845,AK010,active,yes,2006,2023,
Sagwon Nonacidic lower box,Alaska,69.43955,-148.668783,253,AK005,active,no,1996,2023,
Betty Pingo 1 upper box,Alaska,70.282583,-148.893472,46,AK011,active,yes,2005,2023,
Betty Pingo 2 lower box,Alaska,70.282658,-148.893525,8,AK004,active,no,1996,2023,
Atqasuk,Alaska,70.452467,-157.411631,23,AK003,inactive,yes,1996,2020,
Barrow 1,Alaska,71.322822,-156.607372,51,AK001,inactive,yes,1995,2023,
Barrow 2,Alaska,71.307728,-156.588956,27,AK002,inactive,maybe,1996,2019,
Scott Base,Antarctica,-77.848306,166.761306,200,ANT001,inactive,maybe,1999,2019,2022_data
Victoria Valley,Antarctica,-77.330917,161.600611,1349,ANT002,active,yes,1999,2022,
Bull Pass,Antarctica,-77.518833,161.865389,870,ANT003,active,yes,1999,2022,
Marble Point,Antarctica,-77.419583,163.682028,6,ANT004,active,yes,1999,2022,
Mt. Fleming,Antarctica,-77.545194,160.290167,5568,ANT008,active,yes,2002,2022,
Minna Bluff,Antarctica,-78.511556,166.766167,125,ANT009,active,yes,2003,2022,
Granite Harbour,Antarctica,-77.006556,162.525667,15,ANT010,active,yes,2003,2023,
Don Juan Pond,Antarctica,-77.573917,161.238833,2394,ANT011,active,yes,2011,2022,
Bull Pass East,Antarctica,-77.50219444,162.06475,2729,ANT012,active,maybe,2012,2022,
